prix;Kilométrage;Mise en circulation;Énergie;Boite vitesse;Puissance fiscale;Transmission;Carrosserie;Date de l'annonce;Gouvernorat;Marque;Modèle;Génération;Couleur extérieure;Couleur intérieure;Sellerie;Nombre de places;Nombre de portes;Cylindrée
43000DT;37000km;02.2020;Essence;Manuelle;6cv;Intégrale;SUV/4x4;08.03.2024;BenArous;Chery;Tiggo2;"""""";GrisShark;Noir;Cuirpartiel;5;4;1497cm³
122500DT;73000km;08.2019;Essence;Automatique;8cv;Intégrale;SUV/4x4;08.03.2024;Ariana;KIA;Sportage;IVPhase2(Fab.Slovaquie);"""""";"""""";"""""";"""""";"""""";""""""
40900DT;90000km;06.2018;Essence;Manuelle;6cv;Propulsion;Citadine;08.03.2024;Ariana;GreatWall;M4;"""""";Grisargent;Noir;Cuirpartiel;5;4;1497cm³
26900DT;206000km;01.2012;Essence;Manuelle;5cv;Traction;Coupé;08.03.2024;Tunis;Citroën;DS3;"""""";Autre;Noir;Tissu;5;2;1397cm³
30000DT;198000km;10.2010;Essence;Manuelle;6cv;Propulsion;Citadine;09.03.2024;Tunis;Ford;Focus;"""""";Bleu;"""""";"""""";"""""";"""""";""""""
53000DT;125000km;08.2016;Essence;Automatique;7cv;Traction;Autres;09.03.2024;Ariana;Ssangyong;Tivoli;(03/2015-05/2019);Noir;Beige;Similicuir;5;4;""""""
65000DT;110000km;12.2018;Essence;Manuelle;7cv;Traction;SUV/4x4;09.03.2024;Béja;Renault;Kadjar;phase2;"""""";"""""";"""""";"""""";"""""";""""""
89000DT;47000km;07.2021;Essence;Automatique;9cv;Traction;SUV/4x4;10.03.2024;Tunis;Haval;Jolion;"""""";Noir;Beige;Similicuir;5;5;1497cm³
49500DT;18800km;08.2019;Essence;Automatique;5cv;Traction;Citadine;10.03.2024;Bizerte;Suzuki;Swift;"""""";Blanc;"""""";"""""";"""""";"""""";""""""
95000DT;100000km;11.2020;Essence;Automatique;8cv;Propulsion;Berline;10.03.2024;Tunis;Audi;A4;"""""";Blanc;Noir;Tissu;5;5;1400cm³
64000DT;100000km;10.2017;Essence;Manuelle;9cv;Traction;SUV/4x4;10.03.2024;BenArous;Haval;H6;"""""";Bleu;"""""";"""""";"""""";"""""";""""""
32500DT;130000km;01.2012;Essence;Manuelle;6cv;Traction;Coupé;10.03.2024;BenArous;Citroën;C4;"""""";Grisargent;"""""";"""""";"""""";"""""";""""""
98000DT;114000km;07.2015;Essence;Automatique;16cv;Traction;Berline;10.03.2024;BenArous;Jaguar;XF;"""""";Bleu;"""""";"""""";"""""";"""""";""""""
34500DT;30000km;08.2021;Essence;Manuelle;4cv;Traction;Coupé;10.03.2024;BenArous;Toyota;Agya;"""""";GrisShark;Gris;Tissu;5;5;899cm³
68500DT;190000km;03.2012;Diesel;Automatique;10cv;Traction;SUV/4x4;10.03.2024;BenArous;Audi;Q5;"""""";Marron;Noir;Cuirintégral;5;5;899cm³
47000DT;99000km;03.2010;Essence;Manuelle;7cv;Traction;Coupé;10.03.2024;BenArous;BMW;Série3;"""""";Noir;Beige;Cuirintégral;5;3;899cm³
54000DT;90000km;06.2020;Essence;Manuelle;5cv;Traction;Coupé;10.03.2024;BenArous;KIA;Rio5p;IV;"""""";"""""";"""""";"""""";"""""";""""""
67500DT;109000km;10.2014;Diesel;Automatique;5cv;Propulsion;Monospace;10.03.2024;Sfax;Mercedes-Benz;ClasseB;"""""";Noir;"""""";"""""";"""""";"""""";1461cm³
72000DT;100000km;12.2019;Essence;Automatique;6cv;Traction;SUV/4x4;10.03.2024;Tunis;Nissan;Qashqai;IIPhase2(J11E);"""""";"""""";"""""";"""""";"""""";""""""
62000DT;100000km;04.2018;Essence;Automatique;7cv;Traction;SUV/4x4;10.03.2024;Tunis;Renault;Kadjar;(06/2015-11/2018);Blanc;Gris;Cuirpartiel;5;5;""""""
46000DT;100000km;05.2017;Essence;Automatique;6cv;Traction;Compacte;10.03.2024;Ariana;Ford;Focus;IIIHatchbackPhase2;"""""";"""""";"""""";"""""";"""""";""""""
90000DT;26000km;09.2021;Essence;Manuelle;6cv;Traction;SUV/4x4;10.03.2024;Sousse;Toyota;C-HR;Phase2;"""""";"""""";"""""";"""""";"""""";""""""
28400DT;230000km;11.2012;Essence;Manuelle;5cv;Traction;Citadine;10.03.2024;Médenine;Ford;Fiesta;"""""";Blanc;Noir;Tissu;5;5;1241cm³
42500DT;119900km;11.2018;Essence;Manuelle;7cv;Traction;Berline;10.03.2024;Tunis;Chevrolet;Cruze;Berline(J300);"""""";"""""";"""""";"""""";"""""";""""""
44000DT;175000km;07.2012;Essence;Manuelle;7cv;Traction;Berline;10.03.2024;BenArous;Audi;A4;"""""";Blanc;Noir;Cuirintégral;5;4;1798cm³
55000DT;54000km;01.2020;Essence;Automatique;7cv;Traction;Citadine;10.03.2024;Ariana;Honda;City;"""""";Grisargent;Noir;Tissu;5;4;1499cm³
33500DT;23000km;04.2022;Essence;Manuelle;4cv;Traction;Coupé;10.03.2024;Sousse;Toyota;Agya;"""""";Rouge;Rouge;Tissu;5;5;1034cm³
16000DT;200000km;02.2007;Diesel;Manuelle;6cv;Traction;Utilitaire;10.03.2024;Sfax;Peugeot;Partner;"""""";Blanc;Noir;Similicuir;2;3;1560cm³
